"parent equipment class name","equipment class name","equipment class definition","abstract class flag","CFIHOS unique id","spare part info required","reason for having class","synonym","created date","modified date","terminated date","change request number","status"
"piping purge unit","electric piping purge unit","An electrically controlled piping system that is situated within the frame and distributes purge gas inside the frame.","no","CFIHOS-30000826","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0015;CR0029;FR60","STANDARD"
"heat exchanger","finned tube heat exchanger","A heat exchanger that has finned tubes.","no","CFIHOS-30000827","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0013;CR0029;FR60","STANDARD"
"riser","flexible riser","A flexible vertical or near vertical pipe for the flow of liquid or gas between the seabed and the surface.","no","CFIHOS-30000828","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0015;CR0029;FR60","STANDARD"
"instrument equipment","flow meter","A detecting instrument intended to measure and indicate flow rate and/or produce a signal which represents the measured flow rate.","yes","CFIHOS-30000829","no","Owner Operator RDL Alignment",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0014;CR0029;FR60","STANDARD"
"flying lead","flying chemical lead","ROV or diver-mateable flexible leads between subsea equipment items for chemical services.","no","CFIHOS-30000830","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0015;CR0029;FR60","STANDARD"
"flying lead","flying electrical lead","ROV or diver-mateable flexible leads between subsea equipment items for electrical services.","no","CFIHOS-30000831","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0015;CR0029;FR60","STANDARD"
"flying lead","flying hydraulic lead","ROV or diver-mateable flexible leads between subsea equipment items for hydraulic services.","no","CFIHOS-30000832","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0015;CR0029;FR60","STANDARD"
"flying lead","flying optical lead","ROV or diver-mateable flexible leads between subsea equipment items for optical services.","no","CFIHOS-30000833","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0015;CR0029;FR60","STANDARD"
"chromatograph","gas chromatograph","A chromatograph where gas is injected directly into one or more separation columns.","no","CFIHOS-30000834","yes","Owner Operator RDL Alignment",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0014;CR0029;FR60","STANDARD"
"chromatograph","gas liquid chromatograph","A chromatograph where a liquid sample is injected and evaporated and subsequently carried to one or more separation columns.","no","CFIHOS-30000835","yes","Owner Operator RDL Alignment","liquid chromatograph","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0014;CR0029;FR60","STANDARD"
"circuit-breaker","gas-blast circuit-breaker","A circuit-breaker in which the arc develops in a blast of gas.","no","CFIHOS-30000836","yes","missing from CFIHOS - in other OO RDLs","gas circuit-breaker; gas circuit breaker","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0012;CR0029;FR60","STANDARD"
"control valve","gate control valve","A control valve that is a gate valve and an actuated valve.","no","CFIHOS-30000837","yes","Identified as part of RDL Alignment Activity","actuated gate valve","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
