"tag class name","tag class CFIHOS unique ID","equipment class name","equipment class CFIHOS unique ID","reason for mapping","created date","modified date","terminated date","change request number","status"
"window","CFIHOS-30000935","industrial building","CFIHOS-30000096",,"2020-11-23T16:52:08.931Z","2020-11-27T15:31:21.346Z",,"CR0031","STANDARD"
"window","CFIHOS-30000935","office building","CFIHOS-30000163",,"2020-11-23T16:52:08.931Z","2020-11-27T15:31:21.346Z",,"CR0031","STANDARD"
"window","CFIHOS-30000935","residential building","CFIHOS-30000210",,"2020-11-23T16:52:08.931Z","2020-11-27T15:31:21.346Z",,"CR0031","STANDARD"
"window","CFIHOS-30000935","window","CFIHOS-30000935",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"wire hoist","CFIHOS-30000287","wire hoist","CFIHOS-30000287",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"wire line unit","CFIHOS-30000288","wire line unit","CFIHOS-30000288",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"wire sling","CFIHOS-30000289","wire sling","CFIHOS-30000289",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"wireless access point","CFIHOS-30000290","wireless access point","CFIHOS-30000290",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"wobbe index meter","CFIHOS-30000493","wobbe index meter","CFIHOS-30000493",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"yoke","CFIHOS-30000561","yoke","CFIHOS-30000561",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
